project,block_time,borrower,asset_symbol,token_amount,usd_value
Aave,2022-04-20T00:00:45+00:00,\x73e5b897e2c0dd66cd9aad1f876b7c9a15f7d797,GUSD,2000,1998.842
Aave,2022-04-20T00:21:32+00:00,\xd2c32f54a26285decf30e6d208f722e7d5fd3f58,SNX,15000,91350
Aave,2022-04-20T00:24:11+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,15.5,48112.62
Aave,2022-04-20T00:25:51+00:00,\xdec094279bb40920f1d4d33e46e0162b4ca96b9c,USDC,30000,30025.05
Aave,2022-04-20T00:29:00+00:00,\x1e5a8256f6e5f188a70143ae5a6df06862d87052,USDC,3340,3343.05944
Aave,2022-04-20T00:29:24+00:00,\xf79d4d09d45ace417e7075bdf1816d198e57f186,USDC,500000,500458
Aave,2022-04-20T00:36:40+00:00,\x91d6e260a5965a3c33d5bc4bf4adcf96c449ed2e,USDC,2050,2052.3821
Aave,2022-04-20T00:36:40+00:00,\x5a59bbf52246bca0443e583968d661b739e69253,DAI,5555,5561.671555
Aave,2022-04-20T00:42:58+00:00,\xf89a2234f442ce862443f01c3998701a4cc4a3e3,LINK,120000,1694400
Aave,2022-04-20T00:44:26+00:00,\xa1175a219dac539f2291377f77afd786d20e5882,USDT,1000000,1001364
Aave,2022-04-20T00:47:02+00:00,\xa25a9b7c73158b3b34215925796ce6aa8100c13a,sUSD,180000,180146.52
Compound,2022-04-20T00:32:22+00:00,\xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,USDC,179636.122568,179744.982058276
Aave,2022-04-20T05:29:12+00:00,\xcda584cb886e4bda51876f3ab8d4ae344e625220,USDC,150000,150052.5
Aave,2022-04-20T01:59:08+00:00,\x2e771628e765c04a06252801177332d078a19a21,USDC,21607.985499,21613.9709109832
Aave,2022-04-20T01:04:16+00:00,\xd26d5fa5453c88ae1be8b26e995dd97101cabefd,USDC,25000,25024.825
Aave,2022-04-20T01:15:01+00:00,\xe83addbe930e1c242536717ff5d72df6e9264af1,USDC,31500,31549.1715
Aave,2022-04-20T01:16:18+00:00,\xa976ea51b9ba3232706af125a92e32788dc08ddc,USDC,3072341.48,3074350.79132792
Aave,2022-04-20T01:17:22+00:00,\xa976ea51b9ba3232706af125a92e32788dc08ddc,FRAX,3509670,3502039.97742
Aave,2022-04-20T01:17:28+00:00,\xe83addbe930e1c242536717ff5d72df6e9264af1,USDT,24000,24015.12
Aave,2022-04-20T01:18:09+00:00,\xd972bb7ce0c457983fb47bcbe9046681854bfc8c,DAI,75000,75045.3
Aave,2022-04-20T01:22:20+00:00,\xa38f2036a93f279d0d4402fcb35090a18bc524ea,USDT,1000,1000.78
Aave,2022-04-20T01:34:31+00:00,\xabbd5b2b0b034781e58434736728b9d0673de7f1,USDC,150000,150124.2
Aave,2022-04-20T01:36:31+00:00,\x0a264e1ee0e75b428688cb615e32f31e836baee0,USDC,101.475621,101.558425106736
Aave,2022-04-20T01:47:44+00:00,\x6186d6267069dc101cf52f900b64688168b7eefd,USDT,30000,30022.02
Aave,2022-04-20T01:47:52+00:00,\x7a6b837a5bbfa9acbbf809bc5b52ad1b077abe95,USDC,105000,105086.52
Aave,2022-04-20T01:52:22+00:00,\xd65ac35cd234c8718b876ab304fa56c8995e387f,CRV,60,137.4
Aave,2022-04-20T01:59:39+00:00,\xdfc11349cb2b6368854318b808b47c87f32c7efb,GUSD,20000,20006.18
Aave,2022-04-20T02:10:08+00:00,\xb0b6b2f75f5927ca638227bd601ad8b0646ec455,USDT,40000,40019.16
Aave,2022-04-20T02:11:24+00:00,\xbae3bad311a211dbc19c14a5d2995a9a4741abc7,USDT,2566,2567.288132
Aave,2022-04-20T02:37:47+00:00,\xa19c2d21d07a83a6a4bd49d0b699efeb23883b2f,USDC,2000,2001.238
Aave,2022-04-20T02:47:20+00:00,\x1fbf4789ac39de79936ccc29fa6789db6848a275,USDC,2500,2498.785
Aave,2022-04-20T03:14:02+00:00,\xbb959f3e8dae3d06bfcbd4edd25845a7de571216,USDC,43.390248,43.416542490288
Aave,2022-04-20T03:17:33+00:00,\x2ee771b30f673905ae51d8962c0965001c4dcd22,USDT,100,100.0671
Aave,2022-04-20T03:37:55+00:00,\xc966cc9e367f21b31f7907d9d9a7c9d21eb09876,USDC,16000,16017.024
Aave,2022-04-20T03:42:35+00:00,\xd2e35e31396edb10a11abec5748ee939d3f420a0,SNX,8000,48800
Aave,2022-04-20T04:18:04+00:00,\xe83addbe930e1c242536717ff5d72df6e9264af1,USDC,50000,50054
Aave,2022-04-20T04:20:41+00:00,\xa4692920cfd7eabc58a715ce8b6a65cc33efe67f,WETH,5500,17011995
Aave,2022-04-20T05:14:00+00:00,\xb3aba44b58f3a1e82b91d7264492ea8e778c3ba6,AMPL,100000,112890.1
Aave,2022-04-20T05:27:06+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,0.12,370.6776
Aave,2022-04-20T05:32:46+00:00,\xa25a9b7c73158b3b34215925796ce6aa8100c13a,USDC,100000,100087.2
Aave,2022-04-20T05:40:58+00:00,\x5c17185f0ddde2842646f1d246fcc47bcd8886d3,USDT,10000,10000.78
Aave,2022-04-20T05:51:23+00:00,\x196a3dc8446920cef0f0d1f6bf7ba5b40702c79f,USDC,195000,194996.49
Aave,2022-04-20T06:06:34+00:00,\x66b870ddf78c975af5cd8edc6de25eca81791de1,WBTC,60,2491054.2
Aave,2022-04-20T06:10:49+00:00,\x6b3d1a37b5c01901341f01f4975d31bc5e6c3d81,WBTC,30,1245910.5
Aave,2022-04-20T06:34:52+00:00,\x127e0464b6eca624f09b9292c4f33e4a829ea5d9,SNX,20000,124400
Aave,2022-04-20T06:51:27+00:00,\x06185ca50a8ab43726b08d8e65c6f2173fb2b236,USDT,2818118,2819242.429082
Aave,2022-04-20T06:54:06+00:00,\x6672a66348fb1792767b34fdcfdb2a63c59f37c6,USDT,15291.628395,15297.7297547296
Aave,2022-04-20T07:13:39+00:00,\x06185ca50a8ab43726b08d8e65c6f2173fb2b236,WBTC,60,2491857.6
Aave,2022-04-20T07:25:07+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,200,620198
Aave,2022-04-20T07:57:49+00:00,\x38ff5e822bef345d52376dc52f7d89e55dbc5ea1,USDC,150000,150097.05
Aave,2022-04-20T07:57:49+00:00,\xa4dfe02df1aed4196a42b0009c9ee1e66af21d46,DAI,3641195,3643539.92958
Aave,2022-04-20T08:02:08+00:00,\x2210e6b99e28d4eba28740b7b9835a252620a49d,BUSD,115000,115077.51
Aave,2022-04-20T08:04:05+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,65,201058
Aave,2022-04-20T08:04:42+00:00,\x4544e2fae244ea4ca20d075bb760561ce5990dc3,USDC,20000,20020.54
Aave,2022-04-20T08:09:20+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,45,139194.9
Aave,2022-04-20T08:10:33+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,200,618644
Aave,2022-04-20T08:14:44+00:00,\x97b7b819aef87f45f09337ba5d2ffefba4916609,WETH,15,46445.55
Aave,2022-04-20T08:19:35+00:00,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,30,92866.5
Aave,2022-04-20T08:32:27+00:00,\x1f847fd5e08fb559a69280a14e7e904e6dbff81f,USDC,2820276.779794,2821830.75229967
Aave,2022-04-20T08:45:06+00:00,\x21795eb77d2bbd56a7704f048eb53676da96cf0f,WETH,2,6200.74
Aave,2022-04-20T09:02:21+00:00,\x16ce1b15ed1278921d7cae34bf60a81227cfc295,USDC,1.084756,1.0848915945
Aave,2022-04-20T09:28:19+00:00,\x63bd5dc073a565f3d42be1941e6f02eec295c951,USDT,30000,30004.38
Aave,2022-04-20T09:31:10+00:00,\x3b065a49e4bd96961c1717caea0720b1964bb79d,WBTC,1.5,62426.13
Aave,2022-04-20T09:34:03+00:00,\xa731f0052e9221efe4a7475d61071730f799abc7,USDC,19500,19519.344
Aave,2022-04-20T09:52:24+00:00,\x21d942179d0f5dade65cb225e4b1aec40167a8cf,USDC,30,30.02229
Aave,2022-04-20T09:58:41+00:00,\xf3d9b8f6af674e82943b4685728b00d13a62fc9e,USDC,200000,200183.2
Aave,2022-04-20T10:29:22+00:00,\x2ee771b30f673905ae51d8962c0965001c4dcd22,FRAX,400,400.2652
Aave,2022-04-20T11:09:53+00:00,\x777999be819ffecee44a995560a9d0e97780a30c,AMPL,200000,227481.8
