project,version,block_time,block_number,tx_hash,evt_index,borrower,tx_from,asset_address,asset_symbol,token_amount,usd_value
Aave,1,2022-04-20T16:50:21+00:00,14623061,\xa5206bc1b372dbc8b5f6fdf9310d59c1476549d2220f094f748cfeb587f7d9fa,185,\x56d62093659f3f7fe766d3c2445d6649a2cb2fea,\x56d62093659f3f7fe766d3c2445d6649a2cb2fea,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,0.0106283364932028,32.7406968506763
Aave,1,2022-04-20T04:47:18+00:00,14619835,\x7fbdd9b1719bd6ebbd8e6cdb08ba121c0e1b776230ba47bc55ac66ca94537ca1,209,\x97d4b02ce33c399ffec618bfd2d5bf7108e556ac,\x97d4b02ce33c399ffec618bfd2d5bf7108e556ac,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,-18.70939102,-775639.713769985
Aave,1,2022-04-20T04:48:40+00:00,14619843,\x138784f28e157bcf0376b7390a192fb4316a250be18bb72296e29a52a27f8e3a,369,\x97d4b02ce33c399ffec618bfd2d5bf7108e556ac,\x97d4b02ce33c399ffec618bfd2d5bf7108e556ac,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-355.39995526106,-1096803.35593071
Aave,1,2022-04-20T10:24:55+00:00,14621337,\x20da8d06c809e74b859fe5433ac4775f5a30cc790ee0fef21ef5deaf408a094e,273,\x16de59092dae5ccf4a1e6439d611fd0653f0bd01,\x8c73d39b2da2dd1a10cc16502bc7c8d768ec74c9,\x6b175474e89094c44da98b954eedeac495271d0f,DAI,-271.016897822077,-271.507167390237
Aave,1,2022-04-20T15:45:51+00:00,14622770,\xb3217fa84dfa722ed0ffa905bf39d572b942955e51c454c67ed48683a4dad499,95,\x2ca14d9d023a4fd12fcfb174412534cb33adfe89,\x2ca14d9d023a4fd12fcfb174412534cb33adfe89,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-2.00194319591107,-6153.6931121832
Aave,2,2022-04-20T00:00:53+00:00,14618644,\x535abc1a619da2c73840343dbd4d35e81688fe42a2850ad5875d668bff3694eb,407,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\x45092536e2e388e36fcfdcb39b467b076fb0bbd7,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,0.00823956907409171,25.5820492698585
Aave,2,2022-04-20T00:06:17+00:00,14618669,\x116137bd4f65b88aa2278207b144e7822391a6f7190a1d74e6283a4093bf4e23,400,\x8db63f56502b8596bc2e56939c1710034e5883e6,\x8db63f56502b8596bc2e56939c1710034e5883e6,\xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,1282.96736706869,7838.93061278969
Aave,2,2022-04-20T00:07:50+00:00,14618679,\xf72c967e3f0e8576f3860fc174a5c959d3b2a1da044b58fab07f342f90e1ee25,288,\xd2c32f54a26285decf30e6d208f722e7d5fd3f58,\xd2c32f54a26285decf30e6d208f722e7d5fd3f58,\xdac17f958d2ee523a2206206994597c13d831ec7,USDT,69526.400422,69531.4063228304
Aave,2,2022-04-20T00:07:57+00:00,14618680,\x430a129bd1a7075de0b407dd331fd8572e1fb706d48988dd9c252e01965a74b4,69,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\x462b57fb754723c9692c3f42ebba211be16c93a1,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,110,340943.9
Aave,2,2022-04-20T00:18:43+00:00,14618722,\x5ec4cf34161158f976593e3a7db43822cfaf3b30e95141786cc86fb2091e406f,130,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\xdec094279bb40920f1d4d33e46e0162b4ca96b9c,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,55921.5
Aave,2,2022-04-20T00:19:19+00:00,14618726,\xf1cc5540a19a45b725d682ce5db5bfbcf44141ec9c88903089d19f1796fe6da5,397,\xd2c32f54a26285decf30e6d208f722e7d5fd3f58,\xd2c32f54a26285decf30e6d208f722e7d5fd3f58,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,70738.977718,70804.7649672777
Aave,2,2022-04-20T00:39:13+00:00,14618817,\x61bf0be2b2e8e23cf2b5bdaf02823d393d25f3f9df1834cb2ca7cf4b42fc92a9,57,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\xe83addbe930e1c242536717ff5d72df6e9264af1,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,23,70906.24
Aave,2,2022-04-20T00:44:26+00:00,14618842,\x3cd191e6ff02feff7b274c2aa7865558e6067671d3b9f3f04701c2560b12063c,199,\xa2a3cae63476891ab2d640d9a5a800755ee79d6e,\x904a22dcbbfb961568312d5cce301bf165c2a1fb,\x57ab1ec28d129707052df4df418d58a2d46d5f51,sUSD,1831130.23741646,1834050.89014514
Aave,2,2022-04-20T00:47:29+00:00,14618851,\x4253d3626605f9c0e9833d38e8440feb5f059f12d8ef9676664a195b0ceb5d4a,162,\x8541cdf0cc5ca8997192e415ce6fd5ddc6257803,\x8541cdf0cc5ca8997192e415ce6fd5ddc6257803,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,8454,8459.816352
Aave,2,2022-04-20T00:50:48+00:00,14618863,\xeb46c25b14e200df05edb573a20c329f515bd56843cbff02b35a919225aeed3c,422,\x4767192455266e422386d14991d697a418c63225,\x4767192455266e422386d14991d697a418c63225,\x514910771af9ca656af840dff83e8264ecf986ca,LINK,1087.87393732082,15393.4162130896
Aave,2,2022-04-20T00:50:48+00:00,14618863,\x218b236a4a8cf2e2977d3a080460b67c24a4111fa07f76743c88d453a86b55b9,467,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\xa25a9b7c73158b3b34215925796ce6aa8100c13a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,44,135606.68
Aave,2,2022-04-20T00:54:15+00:00,14618876,\x356171e7d6f1c628ff1248a06ead53418bb153631e3a8ecaeec0624159244e6c,208,\x5a846a286574e527f43195228b20e37676cca43d,\x5a846a286574e527f43195228b20e37676cca43d,\xd533a949740bb3306d119cc777fa900ba034cd52,CRV,11.63467132,26.6433973228
Aave,2,2022-04-20T01:08:07+00:00,14618930,\xedee2bd885a5a14eececf113abf00b21f397d8cb5a8a60d16898e3bb696a2464,140,\xa976ea51b9ba3232706af125a92e32788dc08ddc,\xbcab0c652bd6cf52a0bc20cc577018c8c813e04e,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,1.81606,75296.8804202
Aave,2,2022-04-20T01:09:40+00:00,14618935,\x942a5895c0a13002835b9345e38ea3f1a09f7b78793351e03927beeda0fb7c6b,116,\xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,\xbcab0c652bd6cf52a0bc20cc577018c8c813e04e,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,83.2,256528.896
Aave,2,2022-04-20T01:16:18+00:00,14618961,\xb96f20ebf76d0641e76523e1a3eadea603ce7405efb49e989665b2e05ac88ee3,346,\xd972bb7ce0c457983fb47bcbe9046681854bfc8c,\xd972bb7ce0c457983fb47bcbe9046681854bfc8c,\xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,50,153854
Aave,2,2022-04-20T01:20:47+00:00,14618982,\xcfff57f64ad5cb5acd617bc12228b21e564feec8a7a0da52ec146ef30e04844d,277,\x0a264e1ee0e75b428688cb615e32f31e836baee0,\x0a264e1ee0e75b428688cb615e32f31e836baee0,\xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,0.05,153.854
Aave,2,2022-04-20T01:22:20+00:00,14618990,\xe21ff14e84cb3d3d04d8fb05a26ebd65852d17d5f450f9df6259780bd0954d63,103,\xd972bb7ce0c457983fb47bcbe9046681854bfc8c,\xd972bb7ce0c457983fb47bcbe9046681854bfc8c,\xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,29.2273935598564,89978.8692655026
Aave,2,2022-04-20T01:23:09+00:00,14618993,\xf23a5ee330b64e4111c8979d1b16e9fb4527069df989b3673313c0f852e50384,210,\xdacd3ad9fe68a29a4ae2b7a66599ceb784fafaad,\xdacd3ad9fe68a29a4ae2b7a66599ceb784fafaad,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,76804.765843,76877.8839800825
