project,block_time,liquidated_borrower,tx_from,debt_to_cover_asset_symbol,debt_to_cover_token_amount,debt_to_cover_usd_value
Compound,2022-04-20T15:05:07+00:00,\xf16856d2fc5bd6197a539f6dbc9c5dde580707ab,\xe1c7c2a9fa79421f88b3ba1e392a14622e698d3d,USDT,4637.684009,4658.01097801145
Compound,2022-04-20T23:21:52+00:00,\xca8119e97013879b273711e92eaf9b8e387d77f1,\x0177ffdf6b5c00ff8eab1a498ea10191ebc965db,DAI,1875.71122851099,1876.51215720557
Compound,2022-04-20T23:23:04+00:00,\x3d1a8bf4b5db60f71386f1e714c1402ba9476242,\x0177ffdf6b5c00ff8eab1a498ea10191ebc965db,DAI,3103.59365421615,3104.9188887065
MakerDAO,2022-04-20T02:06:02+00:00,\xcaf969796bf956f2a0fec19d1d680e46ce2951fb,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1247595.63440277,1248120.87216485
MakerDAO,2022-04-20T05:57:57+00:00,\xfc198c9163ea320e4d513e4425b3d4e5437769a2,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1046236.51811735,1046272.09015896
MakerDAO,2022-04-20T07:07:15+00:00,\xab0daab3a93c03f8181f503c07b227c9b5f5554e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,936836.821315207,937152.53532399
MakerDAO,2022-04-20T07:18:53+00:00,\xa8d0b4577ba4d6b2d076a3c94e4b5e0f4356cd30,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,679818.039121398,680201.456495462
MakerDAO,2022-04-20T09:13:03+00:00,\xa8d0b4577ba4d6b2d076a3c94e4b5e0f4356cd30,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1853608.79468734,1853862.73909221
MakerDAO,2022-04-20T10:49:00+00:00,\x5dea5996e13152ec01ed02b54fbc912e6f95733f,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,200889.417399945,201140.930950529
MakerDAO,2022-04-20T11:12:03+00:00,\x5dea5996e13152ec01ed02b54fbc912e6f95733f,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1046236.51811735,1047234.62775563
MakerDAO,2022-04-20T11:41:11+00:00,\x5dea5996e13152ec01ed02b54fbc912e6f95733f,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1327090.55453708,1326644.65211075
MakerDAO,2022-04-20T12:04:49+00:00,\x5dea5996e13152ec01ed02b54fbc912e6f95733f,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,355685.060494973,355614.990538055
MakerDAO,2022-04-20T12:28:00+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,442464.441338258,442929.471466104
MakerDAO,2022-04-20T13:13:44+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1411144.35334908,1412290.202564
MakerDAO,2022-04-20T13:36:37+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,52113.8702512213,52236.3378463117
MakerDAO,2022-04-20T14:01:02+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,1046236.51811735,1048873.034143
MakerDAO,2022-04-20T14:24:15+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,799875.304058412,802349.318373865
MakerDAO,2022-04-20T02:05:08+00:00,\x2ca66ad8e1d5ffcad569235dbe6d8537617e57b7,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,37750.1107369155,37786.0110922263
MakerDAO,2022-04-20T02:29:22+00:00,\x070ede573034676bedddf03792f4ee00001470bb,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,923034.458345655,923710.119569164
MakerDAO,2022-04-20T04:00:06+00:00,\x51ec875a8f76b288d05b9e765bc0e7b3237de71c,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,375323.477966394,375498.378707126
MakerDAO,2022-04-20T04:24:07+00:00,\xa684ec9cf98e8812042b60e13cf417d76822f099,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,772491.602247878,773383.057556872
MakerDAO,2022-04-20T02:05:48+00:00,\x07f2aa6a989171168f1af32f40b07c271eeadee0,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,523594.282194074,524092.220356441
MakerDAO,2022-04-20T02:06:13+00:00,\x070ede573034676bedddf03792f4ee00001470bb,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,158546.450407915,158613.198463537
MakerDAO,2022-04-20T02:29:38+00:00,\x51ec875a8f76b288d05b9e765bc0e7b3237de71c,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,693620.402090949,694128.13222528
MakerDAO,2022-04-20T04:01:12+00:00,\xa684ec9cf98e8812042b60e13cf417d76822f099,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,186792.28853411,186951.809148518
MakerDAO,2022-04-20T05:56:40+00:00,\xa684ec9cf98e8812042b60e13cf417d76822f099,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,107472.599183184,107476.253251556
MakerDAO,2022-04-20T05:58:16+00:00,\xab0daab3a93c03f8181f503c07b227c9b5f5554e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,93886.5171022339,93889.7092438154
MakerDAO,2022-04-20T12:05:09+00:00,\xd95272f4feef0d88e0561103e54cfcabf362c76e,\xb8bbf36ba36fc78f3f137c514af33709fffba604,DAI,83124.4914387526,83108.1159139392
