block_time,nft_project_name,platform,evt_type,usd_amount,seller,buyer,original_amount,original_currency,block_number,nft_token_id,tx_hash
2022-04-20T00:00:45+00:00,The Art of Seasons,LooksRare,Trade,3570.497,\xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,\x4a6cc4b54dfe17742cc1d4c2030cb2ed09e9e7a0,1.15,WETH,14618643,9391,\x503baa6a16616aaa48f8c3f03516d90ef2604dbf6ddf17d9bb60c4a56a686cbb
2022-04-20T00:03:11+00:00,Cool Pets,LooksRare,Trade,4318.7022,\x75d21642122cfadbb1b2c34965ca59719dcb2534,\x27c5932ee1b0873e67279066be914d46203fc738,1.39,WETH,14618651,13727,\xcb2652d7ecf7b44b8f7dd0423a7c0dcf87610bd5f1f8bb2c28af1f9b544ce6b8
2022-04-20T00:04:30+00:00,CloneX,LooksRare,Trade,68353.56,\x6035b92fd5102b6113fe90247763e0ac22bfef63,\x2b18e9c6b073f368c63d6e372380653edd945b42,22,WETH,14618656,12195,\x4a77eca9146ffd26a2069f955248b787642389f73aabe526240a32e8c44c86fd
2022-04-20T00:04:59+00:00,FutureMixedMedia,OpenSea,Trade,1553.49,\xe744d23107c9c98df5311ff8c1c8637ec3ecf9f3,\xf8a065f287d91d77cd626af38ffa220d9b552a2b,0.5,WETH,14618660,10306,\x9208c491fb2d71e6627346ac45e2b1bdcad6030bad5879d44d325d95451ce1db
2022-04-20T00:09:43+00:00,OpenSea Collection,OpenSea,Trade,1791.195271,\x15d51e51caf5585a40cb965080098bfb68af3336,\xee7a6b828169ced383e3dd6b54cd1b33cc1edf94,0.5779,WETH,14618687,9875117502566485822416797911698586205255372365595987869918558373136803299329,\x72949b13f0266d22687987a63b0d3925c8d359ef357587152d0c926e25b8689c
2022-04-20T00:19:08+00:00,Lunaria,Foundation,Trade,621.35,\x43d9f6ad8e06c1b631866642ce1623a28a8c7579,\x2ae76a64472e6289ad8d7bdb1682f2f112f6db79,0.2,ETH,14618725,5,\x686586b9ee9b12e06d148d31db3319b49c5a7d735fb9107c31c5bfb476a39292
2022-04-20T00:19:19+00:00,Akuma Origins,LooksRare,Trade,1149.4975,\x04d387fb6c2d00f24ab77b80f8b22d25f117e329,\x5b4e8b50c000035e38e37db22675f6ccd3e87bb5,0.37,WETH,14618726,2318,\xba03decd64b87221ec029cdb8f9c3259f8e9f89bb9817bd4aed05e7cfb351e36
2022-04-20T00:20:14+00:00,CryptoPunks,LarvaLabs Contract,Trade,240773.125000002,\x6277a1073dfbe0ea087e0ef8741dce084831e782,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,77.5000000000005,ETH,14618733,5347,\xf0cb0ce8c46de4f0d22e9a05e7bafca0150fa6af3417a05d868340a6af2eae2f
2022-04-20T00:24:00+00:00,froyo kittens,LooksRare,Trade,282.08273904,\x04d387fb6c2d00f24ab77b80f8b22d25f117e329,\x77c1e541dce733d11af4342c95d9bafac70efed7,0.090876,WETH,14618743,2760,\x5a5e40440191ea72b25bf0dac9ef4a6a3cd79d0b0e0c26dda03b624455a03317
2022-04-20T00:25:51+00:00,Pieland,LooksRare,Trade,186.2424,\x68decbb3cc33e4ae9c2d47e07ece5e8029cdc2b0,\x1dcdc18e1fd96426396b3919a1b039b331a238de,0.06,WETH,14618753,1266,\x7f926ca0b54b0925286d4615c3d458758df26a34e72d54b5273e5e7ac819d42f
2022-04-20T00:26:54+00:00,Cryptoadz,LooksRare,Trade,12309.723416,\xeae59890f7787b05d0c6375651cd59920afb0576,\x6935df6a97b9e99ae06575c9caf7d57e73f0c233,3.9868,WETH,14618759,2457,\x6331427a021d50f62dc953370ebff545f1c699076cc5433c9e517a343bba28f4
2022-04-20T00:29:24+00:00,BFF,LooksRare,Trade,4832.1253,\xbb0cffd2d2bf2a91fa6bbbbefb5b034ecf001de5,\x6cdce3e24d227a13366adee94686aeaff4958fb5,1.565,WETH,14618775,7057,\x614c1d042ee0bc85362aec56795bde9a4f284df0bdee5f55890d287c23d6154f
2022-04-20T00:29:30+00:00,OpenSea Collection,OpenSea,Trade,0,\xb2837d2279dc077c51467fdcac7f2fb93ef23974,\x39aee649fc572f17230237a129d9d95bebc52043,0,ETH,14618776,80744007661072223052690172501068735109623811805573608861566955434799139913729,\x6983542a03332c59e6e4403e2d61ce6b08bf0db05b94ee9213a553868bc6ccea
2022-04-20T00:34:49+00:00,Aki Story,OpenSea,Trade,160.18583844375,\x0c2877767b6092b87b91620e2e9c23f0d27f37c8,\x9ff68b87a54cb9b91cb802c94aa5e79b10fd7ba4,0.052093125,WETH,14618799,2194,\x9afee53cceb966dbf2d53133df01f45fb26ec6511ac478609fdd2862da7eca12
2022-04-20T00:35:27+00:00,The Heart Project,LooksRare,Trade,493.2608,\xcb4de9c1c8a5323ec5c53bd1dc87479ba410a697,\x2b70a4f43562350de1e5c8cfa4c8606291dd8df8,0.16,WETH,14618802,6631,\xf0cd67a3142ca10f38ea245c93e3e982cc73363b8de5aff16c22c1a64c3c8175
2022-04-20T00:37:44+00:00,SandVegasCasinoClub Official,LooksRare,Trade,524.0896,\xe8789047611650b35936fe6ab7b6a20012c4ac74,\x4824b15e55229da9650d03caf46d9b0e711fdd4e,0.17,WETH,14618810,4750,\x8afdb2b028556de9e52a09dd0c6880f8af1b25fbb64912a0f996c0b07a16ddf8
